year,rank,name,familyid,networth,dropoff_reason,dropoff_networth,sample
1982,1,"Ludwig, Daniel Keith",1,2000,,,1
1982,2,"Getty, Gordon Peter",2,1400,,,1
1982,3,"Hill, Margaret Hunt",3,1000,,,1
1982,4,"Hunt, William Herbert",3,1000,,,0
1982,5,"Davis, Marvin Harold",4,1000,,,1
1982,6,"Packard, David",5,1000,,,1
1982,7,"Hunt, Lamar",3,1000,,,0
1982,8,"Rockefeller, David Sr",6,1000,,,1
1982,9,"Hunt, Caroline Rose",3,1000,,,1
1982,10,"Hunt, Nelson Bunker",3,1000,,,0
1982,11,"Bass, Sid Richardson",7,1000,,,1
1982,12,"Anschutz, Philip Frederick",8,1000,,,1
1982,13,"Mars, Forrest Edward Sr",9,1000,,,1
1982,14,"Bass, Perry Richardson",7,1000,,,1
1982,15,"Annenberg, Walter Hubert",10,800,,,1
1982,16,"Bechtel, Stephen Davison Sr",11,750,,,1
1982,17,"Helmsley, Harry Brakmann",12,750,,,1
1982,18,"Walton, Sam Moore",13,690,,,1
1982,19,"Hewlett, William Redington",14,650,,,1
1982,20,"Caruth, William Walter Jr",15,600,,,1
1982,21,"Hunt, Haroldson Lafayette (Hassie) III",3,600,,,1
1982,22,"Newhouse, Samuel Irving Jr",16,600,,,1
1982,23,"Newhouse, Donald Edward",16,600,,,1
1982,24,"Brown, Jack Eugene",17,550,,,1
1982,25,"Wagner, Cyril Jr",18,550,,,1
1982,26,"Taubman, Adolph Alfred",19,525,,,1
1982,27,"Anderson, Robert Orville",20,500,,,1
1982,28,"Robertson, Wilhelmina Cullen",21,500,mistake,,0
1982,29,"Scaife, Richard Mellon",22,500,,,1
1982,30,"Cooke, Jack Kent",23,500,,,1
1982,31,"LeFrak, Samuel Jayson",24,500,,,1
1982,32,"DeBartolo, Edward John Sr",25,500,,,1
1982,33,"Crow, Fred Trammell",26,500,,,1
1982,34,"Gaylord, Edward Lewis",27,500,,,1
1982,35,"Stern, Leonard Norman",28,500,,,1
1982,36,"Mellon, Paul",22,500,,,1
1982,37,"Chambers, Anne Cox",29,500,,,1
1982,38,"Simplot, John Richard",30,500,,,1
1982,39,"Ford, Kenneth William",31,500,,,1
1982,40,"Anthony, Barbara Cox",29,500,,,1
1982,41,"Arnold, Isaac Jr",21,500,mistake,,0
1982,42,"Hillman, Henry Lea",32,500,,,1
1982,43,"Cullen, Roy H",21,500,mistake,,0
1982,44,"Marshall, Margaret Cullen",21,500,mistake,,0
1982,45,"Carlson, Curtis Leroy",33,500,,,1
1982,46,"Johnson, Samuel Curtis",34,500,,,1
1982,47,"Rockefeller, Laurance Spelman",6,450,,,1
1982,48,"Cox, Edwin Lochridge Sr",35,450,,,1
1982,49,"Gates, Charles Cassius Jr",36,420,,,1
1982,50,"Copeland, Lammot du Pont Sr",37,400,death,,1
1982,51,"Milliken, Roger",38,400,,,1
1982,52,"McLean, Malcolm Purcell",39,400,,,1
1982,53,"Fribourg, Michel",40,400,,,1
1982,54,"Beal, Carlton",41,400,,,1
1982,55,"Rockefeller, Winthrop Paul",6,400,,,1
1982,56,"Mitchell, George Phydias",42,400,,,1
1982,57,"May, Cordelia Scaife",22,400,,,1
1982,58,"Murdock, David Howard",43,400,,,1
1982,59,"Alkek, Albert B",44,350,,,0
1982,60,"Cox, John Lee",45,350,,,0
1982,61,"Bren, Donald Leroy",46,350,,,1
1982,62,"Pritzker, Abraham Nicholas",47,333,,,1
1982,63,"Pritzker, Jay Arthur",47,333,,,1
1982,64,"Carpenter, William Kemble",37,333,,,1
1982,65,"Pritzker, Robert Alan",47,333,,,1
1982,66,"Carpenter, Robert Ruliph Jr",37,333,,,1
1982,67,"Draper, Irene Carpenter",37,333,,,1
1982,68,"Perot, Henry Ross Sr",48,325,,,1
1982,69,"Kroc, Raymond A",49,320,,,1
1982,70,"Faulkner, Mary Belin du Pont",37,300,,,1
1982,71,"Thouron, Esther Driver du Pont",37,300,,,1
