Country,Region,Urban,Origin,Year1,Year2,Age,AgeInt,AgeDef,Vitality,   ASFR,  ASFR1,  ASFR2,  ASFR3, ASFR3P,  ASFR4, ASFR4P, ASFR5P,   CPFR,  CPFR1,  CPFR2,  CPFR3, CPFR3P,  CPFR4, CPFR4P, CPFR5P,Collection,SourceType,   RefCode,Note,Split
    USA,     .,    .,     ., 1917, 1917, 14,   -99,   ACY,       1,0.00199,0.00176,0.00006,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,       ODE,  estimate,    USA_01,   .,    2
    USA,     .,    .,     ., 1917, 1917, 15,     1,   ACY,       1,0.01301,0.01264,0.00054,0.00000,0.00000,0.00000,0.00000,0.00000,0.00199,0.00176,0.00006,0.00000,0.00000,0.00000,0.00000,0.00000,       ODE,  estimate,    USA_01,   .,    2
    USA,     .,    .,     ., 1917, 1917, 16,     1,   ACY,       1,0.02700,0.02440,0.00240,0.00020,0.00020,0.00000,0.00000,0.00000,0.01500,0.01440,0.00060,0.00000,0.00000,0.00000,0.00000,0.00000,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 17,     1,   ACY,       1,0.05420,0.04560,0.00770,0.00080,0.00090,0.00010,0.00010,0.00000,0.04200,0.03880,0.00300,0.00020,0.00020,0.00000,0.00000,0.00000,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 18,     1,   ACY,       1,0.08620,0.06570,0.01750,0.00270,0.00300,0.00030,0.00030,0.00000,0.09620,0.08440,0.01070,0.00100,0.00110,0.00010,0.00010,0.00000,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 19,     1,   ACY,       1,0.12260,0.08180,0.03210,0.00750,0.00870,0.00120,0.00120,0.00000,0.18240,0.15010,0.02820,0.00370,0.00410,0.00040,0.00040,0.00000,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 20,     1,   ACY,       1,0.14850,0.08540,0.04470,0.01450,0.01840,0.00300,0.00390,0.00090,0.30500,0.23190,0.06030,0.01120,0.01280,0.00160,0.00160,0.00000,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 21,     1,   ACY,       1,0.16730,0.08300,0.05360,0.02270,0.03070,0.00610,0.00800,0.00190,0.45350,0.31730,0.10500,0.02570,0.03120,0.00460,0.00550,0.00090,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 22,     1,   ACY,       1,0.17530,0.07460,0.05650,0.02980,0.04420,0.01040,0.01440,0.00400,0.62080,0.40030,0.15860,0.04840,0.06190,0.01070,0.01350,0.00280,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 23,     1,   ACY,       1,0.18550,0.06730,0.05810,0.03600,0.06010,0.01610,0.02410,0.00800,0.79610,0.47490,0.21510,0.07820,0.10610,0.02110,0.02790,0.00680,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 24,     1,   ACY,       1,0.18320,0.05690,0.05410,0.03820,0.07220,0.02070,0.03400,0.01330,0.98160,0.54220,0.27320,0.11420,0.16620,0.03720,0.05200,0.01480,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 25,     1,   ACY,       1,0.18080,0.04780,0.04960,0.03880,0.08340,0.02460,0.04460,0.02000,1.16480,0.59910,0.32730,0.15240,0.23840,0.05790,0.08600,0.02810,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 26,     1,   ACY,       1,0.17110,0.03830,0.04310,0.03700,0.08970,0.02620,0.05270,0.02650,1.34560,0.64690,0.37690,0.19120,0.32180,0.08250,0.13060,0.04810,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 27,     1,   ACY,       1,0.17460,0.03330,0.04080,0.03700,0.10050,0.02830,0.06350,0.03520,1.51670,0.68520,0.42000,0.22820,0.41150,0.10870,0.18330,0.07460,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 28,     1,   ACY,       1,0.17070,0.02780,0.03670,0.03530,0.10620,0.02860,0.07090,0.04230,1.69130,0.71850,0.46080,0.26520,0.51200,0.13700,0.24680,0.10980,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 29,     1,   ACY,       1,0.16620,0.02290,0.03190,0.03250,0.11140,0.02800,0.07890,0.05090,1.86200,0.74630,0.49750,0.30050,0.61820,0.16560,0.31770,0.15210,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 30,     1,   ACY,       1,0.14490,0.01710,0.02520,0.02680,0.10260,0.02420,0.07580,0.05160,2.02820,0.76920,0.52940,0.33300,0.72960,0.19360,0.39660,0.20300,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 31,     1,   ACY,       1,0.13450,0.01320,0.02030,0.02290,0.10100,0.02180,0.07810,0.05630,2.17310,0.78630,0.55460,0.35980,0.83220,0.21780,0.47240,0.25460,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 32,     1,   ACY,       1,0.12230,0.01010,0.01640,0.01930,0.09580,0.01920,0.07650,0.05730,2.30760,0.79950,0.57490,0.38270,0.93320,0.23960,0.55050,0.31090,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 33,     1,   ACY,       1,0.12100,0.00870,0.01400,0.01760,0.09830,0.01830,0.08070,0.06240,2.42990,0.80960,0.59130,0.40200,1.02900,0.25880,0.62700,0.36820,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 34,     1,   ACY,       1,0.11470,0.00720,0.01150,0.01500,0.09600,0.01630,0.08100,0.06470,2.55090,0.81830,0.60530,0.41960,1.12730,0.27710,0.70770,0.43060,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 35,     1,   ACY,       1,0.10960,0.00610,0.00960,0.01280,0.09390,0.01440,0.08110,0.06670,2.66560,0.82550,0.61680,0.43460,1.22330,0.29340,0.78870,0.49530,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 36,     1,   ACY,       1,0.10130,0.00480,0.00780,0.01060,0.08870,0.01220,0.07810,0.06590,2.77520,0.83160,0.62640,0.44740,1.31720,0.30780,0.86980,0.56200,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 37,     1,   ACY,       1,0.09530,0.00390,0.00620,0.00870,0.08520,0.01040,0.07650,0.06610,2.87650,0.83640,0.63420,0.45800,1.40590,0.32000,0.94790,0.62790,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 38,     1,   ACY,       1,0.08430,0.00300,0.00480,0.00690,0.07650,0.00840,0.06960,0.06120,2.97180,0.84030,0.64040,0.46670,1.49110,0.33040,1.02440,0.69400,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 39,     1,   ACY,       1,0.07510,0.00240,0.00370,0.00530,0.06900,0.00680,0.06370,0.05690,3.05610,0.84330,0.64520,0.47360,1.56760,0.33880,1.09400,0.75520,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 40,     1,   ACY,       1,0.05580,0.00160,0.00250,0.00350,0.05170,0.00470,0.04820,0.04350,3.13120,0.84570,0.64890,0.47890,1.63660,0.34560,1.15770,0.81210,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 41,     1,   ACY,       1,0.04420,0.00110,0.00170,0.00240,0.04140,0.00330,0.03900,0.03570,3.18700,0.84730,0.65140,0.48240,1.68830,0.35030,1.20590,0.85560,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 42,     1,   ACY,       1,0.03220,0.00070,0.00110,0.00160,0.03040,0.00220,0.02880,0.02660,3.23120,0.84840,0.65310,0.48480,1.72970,0.35360,1.24490,0.89130,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 43,     1,   ACY,       1,0.02540,0.00050,0.00070,0.00110,0.02420,0.00150,0.02310,0.02160,3.26340,0.84910,0.65420,0.48640,1.76010,0.35580,1.27370,0.91790,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 44,     1,   ACY,       1,0.01780,0.00030,0.00050,0.00070,0.01700,0.00100,0.01630,0.01530,3.28880,0.84960,0.65490,0.48750,1.78430,0.35730,1.29680,0.93950,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 45,     1,   ACY,       1,0.01170,0.00020,0.00030,0.00040,0.01120,0.00060,0.01080,0.01020,3.30660,0.84990,0.65540,0.48820,1.80130,0.35830,1.31310,0.95480,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 46,     1,   ACY,       1,0.00750,0.00010,0.00020,0.00020,0.00720,0.00030,0.00700,0.00670,3.31830,0.85010,0.65570,0.48860,1.81250,0.35890,1.32390,0.96500,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 47,     1,   ACY,       1,0.00410,0.00010,0.00010,0.00010,0.00390,0.00020,0.00380,0.00360,3.32580,0.85020,0.65590,0.48880,1.81970,0.35920,1.33090,0.97170,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 48,     1,   ACY,       1,0.00230,0.00010,0.00010,0.00000,0.00210,0.00010,0.00210,0.00200,3.32990,0.85030,0.65600,0.48890,1.82360,0.35940,1.33470,0.97530,       ODE,  estimate,    USA_01,   .,    0
