Country,Region,Urban,Origin,Year1,Year2,Age,AgeInt,AgeDef,Vitality,   ASFR,   CPFR,Collection,SourceType,   RefCode,Note,Split
    USA,     .,    .,     ., 1917, 1917, 14,   -99,   ACY,       1,0.00199,0.00000,       ODE,  estimate,    USA_01,   .,    2
    USA,     .,    .,     ., 1917, 1917, 15,     1,   ACY,       1,0.01301,0.00199,       ODE,  estimate,    USA_01,   .,    2
    USA,     .,    .,     ., 1917, 1917, 16,     1,   ACY,       1,0.02700,0.01500,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 17,     1,   ACY,       1,0.05420,0.04200,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 18,     1,   ACY,       1,0.08620,0.09620,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 19,     1,   ACY,       1,0.12260,0.18240,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 20,     1,   ACY,       1,0.14850,0.30500,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 21,     1,   ACY,       1,0.16730,0.45350,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 22,     1,   ACY,       1,0.17530,0.62080,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 23,     1,   ACY,       1,0.18550,0.79610,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 24,     1,   ACY,       1,0.18320,0.98160,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 25,     1,   ACY,       1,0.18080,1.16480,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 26,     1,   ACY,       1,0.17110,1.34560,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 27,     1,   ACY,       1,0.17460,1.51670,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 28,     1,   ACY,       1,0.17070,1.69130,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 29,     1,   ACY,       1,0.16620,1.86200,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 30,     1,   ACY,       1,0.14490,2.02820,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 31,     1,   ACY,       1,0.13450,2.17310,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 32,     1,   ACY,       1,0.12230,2.30760,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 33,     1,   ACY,       1,0.12100,2.42990,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 34,     1,   ACY,       1,0.11470,2.55090,       ODE,  estimate,    USA_01,   .,    0
    USA,     .,    .,     ., 1917, 1917, 35,     1,   ACY,       1,0.10960,2.66560,       ODE,  estimate,    USA_01,   .,    0
