United States, Live births by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 07/04/2021
Year    Age        Total          B1          B2          B3          B4         B5p
1933     12-       46.85       46.85        0.00        0.00        0.00        0.00
1933     13       531.69      531.69        0.00        0.00        0.00        0.00
1933     14      2120.63     2111.51        9.13        0.00        0.00        0.00
1933     15      7945.19     7652.82      292.38        0.00        0.00        0.00
1933     16     21998.16    20463.16     1421.96      107.92        5.14        0.00
1933     17     44931.04    38983.72     5417.96      447.25       63.66       18.44
1933     18     76672.49    59953.62    14626.92     1798.19      244.54       49.23
1933     19    101004.36    68881.23    26053.03     5170.92      740.16      159.03
1933     20    116658.52    67114.45    35720.60    10880.58     2280.56      662.33
1933     21    121380.30    60684.92    39139.18    16137.79     4226.75     1191.66
1933     22    128076.99    54496.21    41272.93    21691.98     7768.23     2847.64
1933     23    131426.38    48866.99    40627.16    25079.51    11651.14     5201.57
1933     24    126384.51    41646.16    37454.20    24764.87    14106.68     8412.60
1933     25    123613.47    36257.37    35073.56    24331.28    15431.43    12519.83
1933     26    116037.22    30600.20    31537.45    22488.85    15633.49    15777.21
1933     27    105951.69    24431.72    27271.58    20474.03    15117.22    18657.15
1933     28    105564.03    20849.93    25270.93    19879.47    15646.72    23916.97
1933     29     91491.28    15803.10    20859.92    16867.96    13620.43    24339.87
1933     30     88836.50    13565.18    18084.82    16268.60    12851.29    28066.60
1933     31     67101.97     8869.34    13237.99    12142.15     9848.31    23004.17
1933     32     74073.10     8148.65    12441.63    12418.80    10769.63    30294.38
1933     33     70736.73     6655.26    10360.32    11112.79    10141.23    32467.14
1933     34     54745.85     4766.07     7367.35     8163.66     7560.29    26888.49
1933     35     53854.13     4001.97     6335.14     7364.33     7212.69    28939.99
1933     36     48169.48     3046.14     4872.32     6092.87     6209.26    27948.89
1933     37     42181.33     2445.78     3770.86     4719.31     5118.75    26126.63
1933     38     42303.99     2028.59     3139.48     4131.64     4637.41    28366.86
1933     39     33137.26     1442.39     2190.07     2938.14     3337.13    23229.53
1933     40     27194.51     1060.41     1533.54     2119.60     2527.02    19953.94
1933     41     17031.36      592.24      895.51     1225.46     1400.39    12917.77
1933     42     15764.00      482.76      652.83      899.74     1155.83    12572.84
1933     43     10395.11      289.48      377.52      513.61      683.43     8531.06
1933     44      6307.29      149.45      214.68      279.98      404.50     5258.67
1933     45      3956.36       83.72      105.50      151.62      210.29     3405.23
1933     46      1785.12       35.00       35.91       68.51       76.84     1568.86
1933     47       897.79       22.26       24.28       36.86       36.81      777.58
1933     48       554.58        7.47        9.56       14.83       25.40      497.33
1933     49       247.99        5.28        7.36       13.64       14.67      207.04
1933     50        56.62        3.29        5.47        3.27        2.17       42.43
1933     51        16.78        2.11        0.00        1.05        1.05       12.57
1933     52        16.77        1.05        2.11        0.00        1.05       12.56
1933     53        18.87        0.00        1.05        3.15        0.00       14.67
1933     54        13.64        1.06        3.15        0.00        0.00        9.42
1933     55+        0.00        0.00        0.00        0.00        0.00        0.00
1934     12-       19.23       19.23        0.00        0.00        0.00        0.00
1934     13       499.01      499.01        0.00        0.00        0.00        0.00
1934     14      2407.03     2392.89       14.14        0.00        0.00        0.00
1934     15      8551.16     8238.79      305.23        7.15        0.00        0.00
1934     16     23524.88    21916.87     1487.60      108.18       12.24        0.00
1934     17     47615.43    41713.96     5370.78      464.36       59.19        7.14
1934     18     81196.11    64507.62    14528.43     1846.74      253.14       60.19
1934     19    106433.28    74682.37    25746.33     5159.37      703.38      141.84
1934     20    124318.63    74033.27    36368.65    11002.48     2317.77      596.47
1934     21    129751.23    67086.90    40586.62    16394.40     4413.67     1269.64
1934     22    134340.94    59883.07    42119.74    21694.55     7906.75     2736.83
1934     23    135326.53    52285.85    41162.87    24915.89    11612.69     5349.25
1934     24    135536.47    46027.18    39334.46    26054.16    15063.22     9057.45
1934     25    126337.93    38615.12    35223.39    24114.58    15783.29    12601.55
1934     26    122962.16    33433.18    33308.19    23370.99    16274.34    16575.47
1934     27    111203.27    26905.08    29032.32    21189.50    15140.20    18936.18
